assignment_key,assignment_value,tag_object_type,target_test_id,target_type,target_test_name,enabled
service,collaboration,test,7070355,test,Chicago.SIP.webex,true
service,collaboration,test,7070353,test,Chicago.video.webex,true
service,collaboration,test,7070356,test,Dallas.SIP.webex,true
service,collaboration,test,7070354,test,Dallas.video.webex,true
service,collaboration,test,7070190,test,Chicago.RTP.webex,true
service,collaboration,test,7070189,test,Dallas.RTP.webex,true
service,collaboration,test,7070056,test,webex.cisco,true

service,vpn,test,7070412,test,Amsterdam.cisco,true
service,vpn,test,7070411,test,Bangalore.cisco,true
service,vpn,test,7546535,test,oregon.descubre,true
service,vpn,test,7070376,test,Richardson.cisco,true
service,vpn,test,7070377,test,RTP.cisco,true
service,vpn,test,7070375,test,SanJose.cisco,true
service,vpn,test,7214741,test,vpn.auto.cisco,true
service,ciscotools,test,7070057,test,concur.cisco,true
service,ciscotools,test,7070063,test,jira.cisco,true
service,ciscotools,test,7070135,test,jobs.cisco,true
service,ciscotools,test,7070061,test,salesconnect.cisco,true
service,ciscotools,test,7070060,test,sharepoint.cisco,true
service,ciscotools,test,7070062,test,workday.cisco,true
service,collaboration,endpoint-test,374591,endpoint-test,cisco.webex,true
service,collaboration,endpoint-test,374597,endpoint-test,zoom,true
service,collaboration,endpoint-test,374601,endpoint-test,m365.outlook,true
service,collaboration,endpoint-test,374602,endpoint-test,m365.sharePoint,true
service,collaboration,endpoint-test,374980,endpoint-test,slack,true
